id,judul,thumbnail,status,tahun,deskripsi,durasi,created_on,last_modified,user_create_id,user_update_id
19,Alvin and the Chipmunks,film_images/0019.jpg,Released,2007,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",92,2023-05-07 11:39:12.430257,2023-05-07 11:39:12.430281,,
20,Alvin and the Chipmunks: Chipwrecked,film_images/0020.jpg,Released,2011,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.",87,2023-05-07 11:39:12.430258,2023-05-07 11:39:12.430282,,
21,The Amazing Spider-Man,film_images/0021.jpg,Released,2012,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",136,2023-05-07 11:39:12.430259,2023-05-07 11:39:12.430283,,
22,Angel Has Fallen,film_images/0022.jpg,Released,2019,"After a treacherous attack, Secret Service agent Mike Banning is charged with attempting to assassinate President Trumbull. Chased by his own colleagues and the FBI, Banning begins a race against the clock to clear his name.",121,2023-05-07 11:39:12.430260,2023-05-07 11:39:12.430284,,
23,Annabelle,film_images/0023.jpg,Released,2014,A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,99,2023-05-07 11:39:12.430261,2023-05-07 11:39:12.430285,,
24,Annabelle Comes Home,film_images/0024.jpg,Released,2019,"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting a priest’s holy blessing. But an unholy night of horror awaits as Annabelle awakens the evil spirits in the room, who all set their sights on a new target—the Warrens' ten-year-old daughter, Judy, and her friends.",106,2023-05-07 11:39:12.430262,2023-05-07 11:39:12.430286,,
25,Annabelle: Creation,film_images/0025.jpg,Released,2017,"Several years after the tragic death of their little girl, a doll maker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the doll maker's possessed creation—Annabelle.",109,2023-05-07 11:39:12.430263,2023-05-07 11:39:12.430287,,
26,Aquaman,film_images/0026.jpg,Released,2018,"Once home to the most advanced civilization on Earth, Atlantis is now an underwater kingdom ruled by the power-hungry King Orm. With a vast army at his disposal, Orm plans to conquer the remaining oceanic people and then the surface world. Standing in his way is Arthur Curry, Orm's half-human, half-Atlantean brother and true heir to the throne.",143,2023-05-07 11:39:12.430264,2023-05-07 11:39:12.430288,,
27,Assassin's Creed,film_images/0027.jpg,Released,2016,"Through unlocked genetic memories that allow him to relive the adventures of his ancestor in 15th century Spain, Callum Lynch discovers he's a descendant of the secret 'Assassins' society. After gaining incredible knowledge and skills, he is now poised to take on the oppressive Knights Templar in the present day.",115,2023-05-07 11:39:12.430265,2023-05-07 11:39:12.430289,,
28,Avatar,film_images/0028.jpg,Released,2009,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,2023-05-07 11:39:12.430266,2023-05-07 11:39:12.430290,,
