id,film_id,genre_id
1,1,7
2,1,12
3,1,9
4,2,2
5,2,4
6,3,7
7,3,5
8,3,9
9,4,4
10,4,14
11,5,4
12,5,14
13,6,4
14,6,14
15,7,7
16,7,12
17,7,4
18,8,8
19,8,9
20,9,4
21,9,8
22,10,4
23,10,5
24,10,9
25,11,7
26,11,5
27,11,15
28,12,5
29,12,6
30,13,2
31,13,4
32,13,6
33,14,7
34,14,6
35,14,8
36,15,7
37,15,12
38,15,9
39,16,4
40,16,5
41,16,10
42,17,7
43,17,5
44,17,10
45,18,7
46,18,4
47,18,10
48,19,2
49,20,2
50,21,7
51,21,5
52,21,6
53,22,7
54,22,9
55,23,8
56,23,11
57,24,8
58,24,11
59,25,8
60,25,11
61,26,7
62,26,5
63,26,6
64,27,7
65,27,5
66,27,6
67,28,5
68,28,6
69,28,10
70,29,7
71,29,5
72,29,6
73,30,12
74,30,4
75,30,11
76,31,8
77,31,11
78,31,2
79,32,2
80,32,5
81,33,2
82,34,2
83,35,2
84,36,2
85,37,2
86,38,2
87,39,5
88,39,6
89,40,8
90,40,9
91,41,8
92,41,9
93,42,8
94,42,4
95,42,11
96,43,4
97,44,7
98,44,5
99,44,11
100,45,7
101,45,5
102,45,11
103,46,7
104,46,5
105,46,6
106,47,7
107,47,5
108,47,2
109,48,8
110,48,11
111,48,9
112,49,4
113,49,3
114,50,4
115,51,7
116,51,6
117,51,3
118,52,7
119,52,6
120,52,3
121,53,7
122,53,5
123,53,1
124,54,4
125,55,5
126,55,6
127,55,4
128,56,7
129,56,4
130,56,16
131,57,7
132,57,6
133,57,3
134,58,4
135,59,7
136,59,5
137,60,4
138,60,3
139,61,4
140,61,3
141,62,7
142,62,4
143,62,2
144,63,4
145,63,2
146,64,4
147,64,2
148,64,10
149,65,4
150,66,5
151,66,6
152,66,3
153,67,4
154,67,3
155,68,4
156,68,14
157,69,4
158,69,6
159,69,3
160,70,2
161,71,4
162,71,3
163,72,7
164,72,8
165,73,2
166,74,4
167,74,14
168,74,3
169,75,5
170,75,6
171,75,2
172,76,4
173,76,3
174,77,2
175,78,5
176,78,2
177,78,6
178,79,2
179,80,7
180,80,5
181,80,6
182,81,4
183,82,4
184,82,3
185,83,2
186,83,4
187,83,3
188,84,5
189,84,4
190,84,14
191,85,4
192,86,4
193,87,7
194,88,5
195,88,6
196,89,2
197,90,7
198,90,5
199,90,2
200,91,4
201,91,3
202,92,5
203,92,6
204,92,3
205,93,1
206,93,5
207,94,2
208,94,3
209,95,4
210,95,3
211,95,15
212,96,7
213,96,4
214,96,6
215,97,4
216,97,2
217,98,4
218,98,3
219,99,1
220,99,5
221,99,6
222,100,4
223,100,3
224,100,6
